N,P,K,temperature,humidity,ph,rainfall,label
76.1,66.5,33.7,8.78,57.63,6.72,23.43,mustard
181.6,45.2,14.4,27.03,75.37,6.26,63.79,cotton
32.2,12.0,17.9,18.5,93.18,6.63,107.49,orange
45.0,32.2,29.3,32.21,45.75,7.47,29.55,sorghum
20.0,35.0,29.3,14.83,62.63,5.53,51.84,garlic
95.5,14.8,59.2,24.28,82.07,6.36,92.15,watermelon
39.2,13.9,35.7,26.7,48.77,5.78,71.83,mango
48.7,36.5,34.2,34.02,88.68,6.69,179.58,papaya
107.4,37.7,70.6,15.01,66.26,5.38,33.74,potato
107.3,10.4,69.4,31.71,93.85,6.15,22.84,muskmelon
149.3,78.7,51.4,22.53,77.51,5.17,112.09,banana
21.7,60.7,21.4,25.05,55.53,6.49,82.26,groundnut
21.1,20.3,8.8,18.37,91.48,7.49,104.24,orange
102.5,45.9,54.8,28.2,66.28,6.89,77.25,tomato
112.9,41.6,43.3,17.03,57.94,6.33,55.67,wheat
4.2,51.1,16.6,29.86,65.56,7.19,68.34,blackgram
136.6,44.4,31.5,23.44,78.63,6.73,53.51,cotton
27.6,70.1,26.3,26.46,56.42,5.31,205.87,pigeonpeas
42.8,51.4,14.9,33.14,75.02,7.27,48.9,blackgram
26.1,67.6,13.9,24.06,64.29,6.36,45.31,groundnut
27.5,57.1,23.8,22.64,19.55,5.44,72.46,kidneybeans
20.0,57.4,14.5,33.7,69.95,6.57,38.02,mothbeans
59.8,23.4,24.3,22.94,75.36,6.48,101.48,cotton
39.1,68.1,20.1,31.59,68.33,7.8,18.23,blackgram
27.9,65.3,19.6,24.69,40.58,6.71,220.12,pigeonpeas
40.5,23.9,31.5,26.08,85.93,6.52,169.57,jute
82.1,46.6,64.0,22.73,75.04,6.46,53.57,tomato
48.3,54.7,53.2,25.01,87.71,5.72,98.14,ginger
12.8,17.7,8.9,19.79,91.91,6.09,133.47,orange
118.7,32.0,8.4,22.63,86.07,7.15,102.81,cotton
12.6,7.3,10.2,21.04,92.18,6.41,108.86,orange
56.6,42.5,39.8,32.83,39.99,7.28,63.15,sorghum
96.5,60.6,12.4,16.71,63.96,6.09,50.51,maize
11.1,15.7,54.0,20.8,89.24,6.67,47.45,pomegranate
14.7,8.8,5.4,24.57,92.61,6.74,96.73,orange
117.2,68.6,11.0,22.21,70.79,6.15,76.04,maize
103.3,19.4,35.9,24.74,81.65,7.24,165.06,sugarcane
26.6,73.9,25.7,29.73,28.67,5.61,106.06,pigeonpeas
22.4,21.8,15.9,24.05,92.88,6.12,91.85,orange
29.8,65.3,20.3,27.06,80.11,5.86,39.86,mungbean
67.9,71.7,14.0,23.58,58.46,5.8,67.76,maize
30.6,69.6,16.1,24.87,62.81,6.65,65.97,soybean
115.8,55.5,18.7,25.81,79.03,5.66,50.33,maize
20.7,69.4,27.1,22.56,77.36,6.23,40.1,soybean
84.1,14.9,43.4,23.62,78.99,6.07,81.01,watermelon
30.7,55.1,28.8,25.99,57.38,5.93,55.19,groundnut
30.7,13.8,23.6,30.75,96.02,5.6,140.7,coconut
72.1,48.5,88.3,13.72,69.37,4.97,36.85,potato
12.3,36.9,13.1,26.55,78.09,7.02,34.16,mungbean
60.4,39.6,40.0,28.49,77.18,6.75,157.15,jute
127.8,144.0,32.9,27.0,79.13,6.32,93.78,banana
127.0,43.8,39.3,28.0,83.19,6.71,187.52,sugarcane
20.9,93.9,32.8,25.17,48.86,6.67,96.87,pigeonpeas
6.7,54.5,13.4,21.79,84.57,6.15,34.92,mungbean
72.4,72.3,76.6,22.24,61.59,7.64,56.27,onion
78.3,49.6,68.3,20.65,50.45,6.98,32.2,onion
13.7,61.9,27.4,23.18,69.8,5.67,101.94,soybean
13.0,17.4,52.3,14.85,87.92,7.08,79.43,pomegranate
14.5,54.3,27.4,30.35,85.3,6.91,48.73,mungbean
84.0,59.2,50.9,19.58,59.58,6.67,29.12,onion
51.6,89.0,54.1,31.9,91.92,7.17,185.46,papaya
66.2,45.1,45.4,11.29,54.98,6.58,39.43,mustard
25.9,51.7,22.8,26.56,91.44,6.54,57.46,mungbean
129.8,37.3,60.2,22.62,65.2,7.38,18.49,onion
18.5,67.3,16.3,27.34,49.17,6.12,132.26,pigeonpeas
89.2,73.5,64.1,9.83,71.14,4.25,68.88,potato
28.6,51.9,21.9,27.97,69.99,7.05,13.57,lentil
21.5,29.2,23.9,28.78,80.17,6.24,35.38,mungbean
20.7,93.7,24.9,25.64,68.46,7.09,38.87,lentil
82.3,17.1,36.7,30.34,95.24,6.61,11.69,muskmelon
18.8,19.1,38.6,23.88,94.34,7.38,87.55,pomegranate
69.7,24.2,47.3,33.07,40.69,6.32,61.92,sorghum
36.8,54.9,16.4,26.62,63.57,5.97,66.85,groundnut
0.0,18.4,16.4,28.45,54.95,5.63,74.33,mango
106.6,30.9,40.6,23.92,79.71,5.49,94.1,sugarcane
21.4,78.0,63.3,34.45,93.21,6.7,120.13,papaya
101.7,46.6,36.2,16.37,63.25,6.31,78.6,wheat
26.2,8.9,13.1,22.76,95.59,6.9,118.69,orange
86.0,30.7,36.6,11.52,46.13,7.41,24.67,barley
22.7,68.1,21.7,26.6,82.97,6.61,105.19,soybean
55.7,34.5,33.7,15.85,52.59,5.84,19.91,garlic
98.2,82.6,37.4,24.56,37.7,6.36,46.34,sunflower
79.2,38.6,32.4,31.46,74.36,6.15,158.72,jute
110.0,116.9,50.8,24.18,76.29,6.41,75.73,banana
23.0,46.6,28.7,34.37,55.32,7.37,46.67,mothbeans
108.9,53.7,22.8,15.6,61.88,5.37,61.91,maize
96.4,46.3,30.1,22.3,64.97,6.03,100.88,maize
129.5,58.7,15.6,29.36,83.43,6.64,89.22,cotton
55.1,38.6,46.1,16.37,65.48,6.76,55.24,mustard
37.7,23.9,34.5,22.52,58.63,6.0,67.85,fingermillet
36.4,14.4,26.9,27.49,72.98,6.31,71.12,fingermillet
43.9,73.3,82.4,17.41,12.2,7.05,57.18,chickpea
16.9,22.7,57.0,26.21,91.54,6.84,55.95,pomegranate
150.0,34.0,13.0,22.31,88.1,7.02,105.19,cotton
10.5,62.3,22.6,30.66,65.4,7.27,33.81,mothbeans
93.5,34.2,40.0,9.2,40.62,7.57,33.51,barley
74.0,54.9,45.7,17.22,55.33,7.12,44.31,mustard
25.7,22.4,32.0,25.21,89.19,6.41,92.41,pomegranate
14.5,79.7,21.1,23.62,56.77,6.08,110.01,soybean
135.8,60.1,21.1,29.21,72.9,6.47,96.35,cotton
17.2,71.4,21.5,24.9,70.78,6.7,85.71,soybean
17.1,10.9,6.0,24.07,96.28,6.75,125.39,orange
4.9,69.9,9.1,27.85,64.86,6.56,32.72,lentil
15.9,88.3,17.6,28.03,43.88,5.08,190.95,pigeonpeas
53.4,46.8,19.6,22.84,74.77,7.14,101.5,cotton
9.9,92.5,25.4,22.24,61.94,7.16,62.31,lentil
99.7,79.1,57.3,28.89,78.15,6.37,153.29,banana
21.7,12.7,48.0,24.42,94.31,5.92,128.21,coconut
111.7,57.2,71.7,27.54,72.88,6.3,93.09,tomato
14.4,51.2,23.2,20.71,69.34,7.49,67.45,lentil
52.8,12.9,30.7,24.95,78.75,5.86,108.4,fingermillet
29.0,72.1,20.5,17.84,21.01,5.54,92.12,kidneybeans
149.7,34.3,39.0,31.49,90.21,6.53,177.56,sugarcane
26.1,56.9,23.8,31.73,56.19,7.86,31.65,mothbeans
50.9,53.3,54.4,26.03,86.95,6.09,125.15,tomato
24.0,26.8,14.8,21.73,92.83,6.42,64.44,orange
21.8,31.0,25.0,30.3,57.41,5.5,92.65,mango
81.9,19.5,42.7,31.18,91.34,5.75,21.82,muskmelon
20.0,56.8,15.3,30.61,43.45,6.51,66.35,mothbeans
24.5,86.8,26.5,15.61,19.56,5.48,142.87,kidneybeans
67.5,118.9,50.2,24.96,62.34,6.26,57.51,sunflower
54.7,54.6,61.8,26.04,88.33,5.6,246.92,ginger
65.7,12.0,50.2,34.58,90.15,5.84,16.72,muskmelon
21.6,62.0,19.5,18.81,22.86,5.83,44.94,kidneybeans
60.7,26.5,30.3,7.76,39.04,7.03,50.49,barley
98.3,52.3,46.4,26.77,78.6,5.99,226.2,sugarcane
29.6,34.7,25.6,26.42,80.96,5.86,57.38,mungbean
131.0,46.8,16.4,21.62,80.26,6.67,114.49,cotton
34.8,32.5,49.1,25.65,88.01,5.7,79.45,ginger
57.1,37.4,36.4,29.15,78.5,5.72,126.32,jute
65.7,45.1,34.8,29.35,40.23,6.74,70.67,sorghum
68.8,50.3,20.5,28.95,64.88,6.69,23.3,blackgram
84.8,52.0,46.6,25.01,70.08,5.31,128.1,banana
30.5,60.2,18.5,31.62,37.71,7.58,43.27,mothbeans
24.8,72.3,19.5,18.51,16.31,5.79,129.7,kidneybeans
18.6,145.1,198.9,24.56,84.01,6.51,54.34,grapes
97.0,57.7,41.2,19.59,47.85,6.14,91.29,wheat
65.3,79.7,76.0,16.75,66.33,5.77,46.11,potato
71.0,58.9,57.3,23.8,81.95,6.12,137.87,banana
70.1,34.8,55.2,24.43,72.93,5.75,193.67,jute
133.3,39.8,34.7,22.52,81.4,6.3,71.54,sugarcane
74.3,22.1,42.6,23.43,76.11,6.38,193.73,jute
27.3,70.4,19.2,26.46,56.46,5.12,146.48,pigeonpeas
41.5,21.2,17.2,21.51,66.33,6.21,106.63,fingermillet
66.7,73.1,75.6,12.79,65.96,5.87,109.74,potato
64.9,54.9,49.0,26.7,85.28,6.78,138.71,jute
107.5,68.3,26.4,19.02,54.49,6.44,102.64,maize
106.3,14.7,65.5,24.39,90.17,6.57,58.3,watermelon
63.7,37.0,39.0,29.61,46.76,6.32,79.13,sorghum
32.5,47.8,19.2,26.36,39.65,5.89,195.52,pigeonpeas
40.2,73.1,49.0,27.8,46.49,6.4,46.23,sunflower
14.9,68.8,25.1,25.26,69.97,6.8,146.79,soybean
132.2,77.2,55.6,25.72,81.43,5.68,157.73,banana
124.1,26.3,66.5,29.45,91.45,7.21,26.71,muskmelon
70.4,28.5,43.2,31.75,56.54,7.04,48.69,sorghum
101.1,49.4,34.8,27.18,89.79,5.89,66.34,sugarcane
131.0,83.8,52.3,28.65,80.57,5.16,70.99,banana
35.8,51.8,82.6,18.0,16.67,7.47,54.91,chickpea
29.4,19.4,33.5,29.73,79.86,5.84,52.04,fingermillet
118.2,14.0,57.4,29.73,94.44,6.03,28.83,muskmelon
88.6,40.8,29.8,27.03,79.17,6.75,231.67,rice
52.3,48.6,43.3,30.0,33.47,7.24,36.18,sorghum
16.7,56.2,20.7,22.63,62.11,5.8,44.14,groundnut
95.8,19.6,57.8,31.48,92.51,6.8,17.05,muskmelon
20.1,16.8,16.1,21.72,89.9,6.88,84.37,orange
69.8,32.8,59.4,21.21,52.86,7.58,55.84,onion
116.2,16.9,52.8,34.3,93.87,6.37,17.43,muskmelon
98.0,44.9,46.1,21.66,47.7,6.5,49.36,onion
22.7,72.6,16.3,21.07,28.53,4.92,112.67,kidneybeans
18.3,61.9,8.1,19.67,68.15,6.17,65.59,soybean
35.3,155.2,236.4,26.6,75.31,6.02,80.11,grapes
64.0,54.8,28.3,20.56,59.07,7.22,40.98,onion
26.4,66.1,22.7,26.76,53.59,6.16,85.51,pigeonpeas
82.3,26.5,36.4,24.25,79.4,6.91,149.74,jute
96.7,58.0,50.9,22.57,82.27,5.55,117.79,ginger
52.4,63.6,49.6,25.95,59.32,6.21,24.38,sunflower
62.5,28.1,32.6,22.76,66.76,6.18,72.54,fingermillet
127.4,26.8,53.0,22.95,87.3,6.09,34.46,watermelon
117.4,38.5,37.9,27.47,77.84,6.36,284.47,rice
30.3,9.7,8.1,19.79,94.51,6.54,171.68,orange
24.0,118.5,212.8,25.86,76.65,5.36,48.8,grapes
71.7,46.6,37.3,28.56,55.07,7.53,32.19,onion
36.8,24.8,41.2,17.35,77.32,5.97,38.56,fingermillet
38.5,51.5,21.1,18.75,62.49,5.92,51.64,maize
14.1,32.3,25.3,29.86,37.37,7.36,49.55,mothbeans
98.2,44.7,23.8,22.32,74.1,6.47,65.96,maize
8.1,27.6,23.6,32.11,42.72,5.94,110.14,mango
80.2,40.5,45.3,25.34,84.56,5.84,160.03,ginger
55.9,37.0,36.6,15.78,54.7,5.93,24.52,garlic
59.3,42.0,39.1,31.39,41.57,7.06,86.82,sorghum
13.3,133.4,231.4,23.42,83.91,6.59,69.22,grapes
62.8,114.3,53.3,17.86,55.33,6.68,52.66,sunflower
28.6,19.2,39.7,32.5,61.19,6.47,100.98,mango
49.1,24.5,46.3,12.8,67.74,6.84,65.57,garlic
35.6,55.1,57.4,33.04,93.94,6.63,106.81,papaya
90.7,21.1,52.5,26.2,72.31,5.82,42.04,watermelon
79.0,44.3,49.4,21.09,84.21,6.31,214.89,rice
19.0,18.4,32.1,19.99,90.58,7.35,119.77,pomegranate
22.2,9.7,7.1,24.02,91.03,6.76,48.89,orange
35.9,45.1,35.3,20.12,74.78,6.27,121.77,fingermillet
70.2,60.6,34.1,21.33,58.78,6.45,106.55,sunflower
23.7,109.3,198.2,19.89,92.96,5.45,65.62,apple
130.3,19.6,51.0,26.52,83.7,5.71,43.76,watermelon
17.7,87.8,19.2,20.8,66.94,6.41,51.32,lentil
20.8,9.3,35.7,24.86,92.74,5.46,209.43,coconut
131.6,29.8,38.2,27.43,80.15,6.5,210.9,sugarcane
68.9,22.3,32.6,16.96,38.17,7.35,33.27,barley
69.2,54.1,46.5,19.3,54.86,6.27,50.66,sunflower
13.3,12.8,5.9,26.45,93.02,7.11,128.01,orange
21.6,22.7,8.7,20.16,93.2,7.59,130.78,orange
23.9,51.7,22.3,26.37,91.13,5.96,61.36,mungbean
76.1,16.4,50.0,24.3,87.06,7.01,36.42,watermelon
90.8,51.1,59.4,19.21,57.17,5.4,67.81,potato
4.7,36.0,19.3,27.99,80.08,6.66,40.72,mungbean
92.0,52.7,35.8,16.87,69.39,6.2,44.86,mustard
26.9,72.4,25.5,22.85,18.95,5.77,81.56,kidneybeans
22.9,20.5,33.6,26.07,91.7,6.36,103.0,pomegranate
128.1,41.4,32.6,26.09,77.46,6.66,105.61,sugarcane
51.8,122.3,51.7,23.04,42.89,6.63,41.33,sunflower
62.0,82.3,41.8,25.62,42.68,6.68,48.77,sunflower
21.9,66.9,14.0,23.37,63.91,6.52,54.58,lentil
55.5,15.8,24.0,26.44,45.65,6.18,70.34,fingermillet
117.7,100.1,35.1,25.89,74.89,4.83,74.4,banana
65.6,24.8,38.1,29.57,36.1,6.8,66.96,sorghum
20.3,53.3,17.0,30.37,88.73,6.95,58.12,mungbean
24.4,110.6,127.7,24.07,90.13,6.87,147.36,apple
25.8,29.3,44.9,27.59,58.67,5.88,84.34,mango
107.7,16.4,53.6,23.44,82.84,6.37,32.8,watermelon
15.4,20.9,32.3,27.76,95.83,5.85,147.82,coconut
22.5,15.6,46.8,28.07,93.23,5.39,152.36,coconut
86.1,57.8,47.4,27.63,73.77,6.22,174.02,jute
127.7,68.7,43.0,26.07,78.63,7.4,66.46,banana
65.0,84.2,48.1,35.38,87.12,6.78,192.27,papaya
9.3,12.0,46.8,22.54,92.78,6.12,131.33,pomegranate
8.6,140.6,211.3,19.82,84.66,6.3,49.7,apple
23.9,166.8,143.2,23.72,81.5,6.37,70.91,grapes
59.3,64.0,18.7,30.38,56.16,6.06,94.67,blackgram
81.4,108.8,54.2,20.91,54.29,6.71,26.86,sunflower
25.2,10.9,15.6,20.7,97.19,6.98,34.99,orange
37.8,73.6,59.2,14.62,17.43,7.67,95.2,chickpea
93.8,72.2,41.7,24.28,65.32,7.73,37.92,onion
47.0,49.2,59.0,33.32,93.4,7.06,194.26,papaya
14.6,104.9,219.1,31.08,81.61,6.46,115.99,grapes
77.6,40.4,34.3,31.59,35.85,7.46,42.48,sorghum
92.9,91.1,34.4,23.4,78.69,6.75,179.97,jute
24.0,11.3,28.0,28.52,96.17,5.64,141.99,coconut
16.7,70.4,24.6,22.63,47.95,6.31,77.02,pigeonpeas
50.0,34.6,25.5,27.83,44.59,6.71,63.04,sorghum
108.0,27.9,59.3,28.45,93.75,5.99,20.15,muskmelon
13.0,80.5,24.4,31.11,55.07,5.64,148.36,pigeonpeas
32.9,46.6,49.1,21.71,81.39,6.8,215.8,rice
91.3,66.0,108.9,13.27,70.2,5.34,85.22,potato
69.0,52.2,92.9,11.57,72.29,5.87,83.22,potato
14.6,174.9,225.3,17.48,78.91,5.43,108.53,grapes
84.6,93.1,67.5,24.35,75.52,6.31,80.22,tomato
71.5,16.6,74.5,28.92,89.88,6.46,19.17,muskmelon
19.5,67.2,16.0,24.92,61.17,6.73,15.59,lentil
85.0,54.8,28.8,17.75,51.52,6.8,67.88,sunflower
29.9,51.2,29.4,26.9,63.13,5.53,56.85,groundnut
32.4,57.7,66.4,23.39,94.32,5.56,176.02,ginger
18.2,156.5,209.1,24.22,81.12,5.92,70.4,grapes
108.1,56.7,48.8,26.32,80.63,5.88,210.99,rice
78.8,42.9,37.7,24.38,87.3,6.48,165.04,jute
46.8,84.7,31.1,26.2,84.29,5.95,98.61,banana
38.4,30.8,27.4,27.47,77.56,6.38,81.77,fingermillet
63.7,78.5,44.9,28.22,73.41,6.66,116.0,banana
62.2,52.4,38.8,12.22,66.34,6.25,40.36,wheat
117.6,48.0,14.7,17.73,55.57,6.68,61.08,maize
58.8,37.1,31.1,25.5,79.3,7.11,154.96,sugarcane
18.1,33.8,28.9,27.51,64.05,6.5,91.42,groundnut
123.5,22.7,61.2,27.9,91.08,6.41,14.98,muskmelon
143.0,75.1,43.1,26.8,83.47,6.06,112.26,banana
64.1,44.5,26.4,16.26,54.51,5.52,45.05,garlic
18.1,8.4,43.7,20.06,97.26,7.21,167.52,pomegranate
19.1,127.7,217.9,21.58,95.23,6.04,118.14,apple
104.4,19.8,48.4,25.55,89.49,6.84,47.63,watermelon
51.8,49.6,35.3,28.32,66.23,6.19,49.18,sunflower
54.0,62.8,50.7,19.77,63.99,7.7,63.34,onion
46.4,26.4,42.7,23.97,81.78,5.96,85.07,ginger
74.6,42.9,40.1,23.57,85.23,5.95,167.48,rice
71.0,74.2,67.8,9.18,69.86,4.9,86.78,potato
13.9,87.2,17.1,22.2,74.14,6.89,34.85,soybean
59.4,63.0,44.9,26.31,83.45,5.57,140.18,ginger
83.4,44.9,94.6,8.4,69.58,5.26,77.39,potato
62.7,68.3,48.7,22.46,61.96,6.31,101.98,sunflower
28.8,65.4,18.2,12.93,20.83,5.79,70.33,kidneybeans
85.6,57.3,70.1,29.98,75.67,5.86,93.61,tomato
66.4,79.4,48.0,32.91,88.01,7.0,189.28,papaya
17.5,21.2,17.9,25.96,96.61,6.08,222.92,coconut
15.8,9.9,10.0,23.56,91.75,7.11,107.29,orange
70.4,69.0,35.8,5.84,65.7,6.5,41.21,mustard
107.8,26.2,52.8,30.55,88.24,6.48,10.0,muskmelon
76.9,31.4,51.9,23.86,74.86,6.63,108.28,jute
98.7,44.4,41.2,18.06,58.96,6.29,61.23,mustard
84.6,79.1,92.4,18.45,83.72,4.91,74.5,potato
8.9,13.7,31.0,25.78,93.62,6.02,97.35,coconut
6.5,74.5,5.1,20.18,58.07,5.93,57.86,lentil
16.6,58.2,18.4,25.22,54.36,5.76,116.54,pigeonpeas
33.4,63.0,26.9,21.04,60.12,5.41,55.71,groundnut
11.7,65.2,21.9,21.97,77.71,6.39,67.16,lentil
100.4,16.1,20.6,23.44,78.06,6.6,32.76,maize
9.0,73.7,15.7,24.61,65.21,6.82,46.44,lentil
18.5,19.5,36.1,28.64,96.33,6.05,187.05,coconut
97.0,36.8,27.2,32.97,54.87,6.74,71.41,sorghum
71.5,20.0,53.2,26.3,94.98,6.15,26.29,muskmelon
83.2,68.6,21.0,24.63,86.37,6.87,46.59,cotton
67.5,42.5,54.0,18.51,46.11,7.19,31.85,onion
36.3,43.4,100.2,14.8,13.7,6.86,70.88,chickpea
33.0,37.7,25.3,31.87,69.81,6.77,49.45,mothbeans
15.3,45.1,14.7,33.16,56.0,7.04,69.52,mothbeans
88.6,57.4,28.3,18.37,66.68,7.58,67.71,wheat
65.9,53.7,37.9,13.16,39.54,7.2,52.3,mustard
133.2,63.8,57.8,29.56,78.84,5.72,73.65,banana
28.3,81.4,78.4,16.58,16.32,6.44,113.35,chickpea
42.4,60.6,51.7,32.7,88.95,7.25,14.56,papaya
136.6,47.3,20.1,26.43,85.11,6.44,99.02,cotton
27.1,73.7,21.6,20.55,27.39,4.79,102.08,kidneybeans
60.1,103.3,32.5,27.36,78.34,5.46,138.91,banana
82.6,88.1,53.7,23.79,66.03,5.15,59.22,tomato
60.7,54.0,35.4,13.96,40.39,6.62,76.08,wheat
157.1,35.1,45.4,27.63,83.7,6.89,187.29,sugarcane
27.3,46.4,21.0,25.78,54.43,5.81,104.57,groundnut
12.9,76.3,18.6,17.58,17.78,6.2,123.14,kidneybeans
24.8,56.5,22.5,24.4,67.11,5.76,59.51,groundnut
73.9,45.0,41.9,29.14,80.88,6.4,293.41,rice
45.5,74.2,52.6,20.57,54.11,7.06,59.66,sunflower
47.0,27.2,37.8,16.75,64.28,5.8,42.73,garlic
28.5,44.7,24.5,30.66,49.76,8.05,40.25,mothbeans
12.8,53.7,22.1,31.14,41.99,7.07,50.48,mothbeans
64.7,43.7,30.9,28.36,50.96,6.06,71.37,sorghum
58.2,46.6,26.7,15.24,50.61,6.8,48.82,mustard
97.5,59.9,49.6,26.71,80.7,5.71,86.27,banana
11.3,23.9,41.3,19.74,92.1,7.15,77.4,pomegranate
33.0,19.0,38.6,27.68,96.79,6.07,146.22,coconut
76.4,65.5,45.6,34.47,94.78,6.86,137.62,papaya
24.0,68.5,26.1,27.4,56.96,6.12,245.57,pigeonpeas
17.1,31.7,20.7,29.94,65.16,6.8,63.47,mothbeans
44.9,72.1,101.9,15.62,10.39,7.48,69.45,chickpea
14.5,16.9,20.2,26.57,99.77,5.7,165.73,coconut
17.3,29.5,35.2,31.02,57.39,5.2,126.18,mango
23.4,18.8,14.1,23.64,97.09,7.19,121.58,orange
121.4,46.7,53.5,12.32,42.39,7.63,36.0,mustard
57.6,17.4,29.2,25.42,90.62,6.7,25.57,muskmelon
64.6,62.3,40.3,17.12,61.59,7.25,49.71,mustard
76.3,46.5,60.4,27.97,86.62,5.27,116.36,ginger
38.7,31.7,37.9,30.03,81.46,5.79,87.99,fingermillet
102.7,48.9,31.3,10.43,46.68,7.44,38.83,mustard
85.4,36.0,51.2,25.07,78.95,6.93,256.06,jute
12.3,37.9,16.2,26.2,83.21,6.89,64.93,mungbean
44.7,49.5,45.6,16.58,61.53,6.3,85.68,wheat
41.1,70.3,65.6,14.49,14.51,7.79,135.81,chickpea
96.9,22.6,61.1,26.98,87.08,5.61,40.59,watermelon
30.4,53.4,20.7,27.74,61.64,6.19,78.07,groundnut
19.6,44.0,19.7,24.08,60.08,7.55,34.2,lentil
33.1,77.6,25.6,33.04,54.57,7.37,56.26,blackgram
7.6,21.2,29.1,21.96,94.39,5.72,146.35,coconut
84.6,48.8,53.2,25.95,81.34,6.9,233.94,jute
127.0,103.3,55.5,29.4,73.55,5.52,110.33,banana
119.0,36.5,54.7,32.1,71.32,7.69,162.06,sugarcane
69.2,31.4,27.6,17.41,51.85,7.42,80.46,maize
71.4,99.0,39.7,20.91,62.06,7.14,65.06,sunflower
82.9,43.1,52.8,23.21,46.83,6.33,61.56,onion
84.4,34.2,27.7,15.15,41.51,7.51,28.1,barley
24.2,7.6,30.8,28.03,96.25,5.52,162.16,coconut
102.3,47.4,19.2,28.21,71.74,6.14,50.51,cotton
59.1,57.0,40.8,22.93,80.25,6.13,228.15,rice
94.7,53.5,50.4,23.11,80.54,6.72,264.36,rice
71.9,54.5,85.3,9.92,73.34,4.97,81.59,potato
29.8,25.5,33.9,25.64,94.49,5.37,97.29,coconut
84.5,15.9,54.1,29.5,83.04,6.51,30.28,watermelon
33.3,130.0,222.9,19.28,91.2,5.46,151.46,apple
18.4,22.3,39.0,27.46,90.17,6.78,138.26,pomegranate
71.9,41.3,43.1,10.01,64.44,6.65,24.06,mustard
57.3,46.1,28.2,11.1,30.07,7.31,66.37,barley
48.4,57.1,44.6,31.95,94.45,6.43,178.68,papaya
79.0,38.6,27.8,9.8,33.57,7.94,34.64,barley
25.9,124.9,181.9,24.13,90.46,5.64,141.49,apple
17.0,12.4,7.8,22.44,94.39,6.23,101.31,orange
59.9,102.2,63.3,34.07,83.46,5.55,112.5,banana
129.8,35.5,31.2,25.58,82.67,5.78,124.45,sugarcane
92.6,65.3,35.1,24.65,78.53,5.37,92.0,tomato
25.3,18.5,24.6,26.33,73.75,7.08,58.36,fingermillet
46.6,30.6,24.7,22.69,62.24,6.14,80.56,fingermillet
72.6,55.2,66.7,22.94,95.23,6.84,111.74,tomato
20.7,123.0,218.7,25.48,88.34,5.81,143.9,apple
105.5,24.3,53.7,32.2,89.68,6.48,29.91,muskmelon
75.3,35.0,45.7,25.63,82.4,6.45,232.34,rice
11.1,113.6,167.0,21.47,84.66,6.64,36.41,grapes
71.2,38.5,44.2,30.46,45.63,7.06,66.39,sorghum
102.2,103.5,53.8,25.1,89.18,6.07,129.38,banana
67.2,26.7,23.3,14.53,46.84,7.18,50.0,barley
44.0,14.2,42.2,27.61,56.71,5.58,90.71,fingermillet
49.2,31.7,33.4,29.21,50.16,6.15,41.17,sorghum
69.1,45.8,35.8,23.58,82.51,5.8,296.49,rice
67.9,94.0,41.6,26.16,82.85,5.11,119.62,banana
18.7,61.8,21.3,31.88,79.32,6.88,35.67,mungbean
20.2,147.5,180.3,19.85,92.18,5.75,67.48,apple
26.0,56.6,67.2,17.77,18.35,7.07,35.52,chickpea
36.0,46.1,16.1,28.82,61.04,6.94,86.18,blackgram
63.9,70.1,46.8,26.36,52.62,6.14,31.74,sunflower
19.0,133.2,196.5,19.91,88.73,4.58,146.52,apple
35.7,22.0,40.9,16.96,80.24,6.81,185.09,jute
102.2,38.4,24.5,21.19,54.77,6.77,55.75,maize
49.7,57.5,22.6,14.33,66.33,6.58,71.42,maize
88.8,69.9,44.4,26.38,79.09,5.39,70.71,tomato
26.3,64.8,11.6,27.76,70.83,6.43,41.94,soybean
109.1,24.2,51.5,13.49,56.49,7.56,42.75,barley
23.9,47.3,21.1,25.48,87.8,6.34,34.96,mungbean
81.6,74.6,55.1,26.39,96.62,5.84,180.68,ginger
109.0,38.1,45.7,22.79,48.67,7.03,35.9,wheat
51.3,67.6,83.6,15.94,10.0,7.2,72.85,chickpea
34.1,46.0,55.4,24.06,62.71,8.17,48.26,onion
51.5,37.2,44.1,24.49,82.63,6.62,228.44,jute
84.5,16.0,68.2,25.42,78.02,6.05,61.18,watermelon
77.1,12.7,50.4,32.18,92.55,5.92,20.37,muskmelon
12.2,131.7,192.3,25.22,91.92,5.32,101.36,apple
29.1,14.9,9.0,23.2,96.42,7.35,78.6,orange
86.1,22.6,42.0,32.48,94.53,5.6,10.0,muskmelon
35.1,57.8,15.4,29.55,55.35,6.97,63.72,blackgram
54.0,98.2,26.1,30.8,71.99,6.81,97.63,blackgram
71.6,70.2,43.4,22.3,87.76,6.69,181.95,jute
48.0,95.2,46.8,21.42,61.74,6.29,47.4,sunflower
21.1,58.2,17.3,31.67,56.28,7.18,36.72,mothbeans
50.3,42.2,44.2,31.98,87.98,7.06,117.49,papaya
47.3,70.0,21.7,30.57,54.79,6.53,125.55,blackgram
12.7,44.3,18.2,30.3,56.26,6.87,37.89,mothbeans
105.6,15.5,61.0,27.18,94.2,5.81,28.9,muskmelon
98.4,35.8,21.5,26.27,81.99,7.61,67.11,cotton
88.5,30.3,33.4,14.02,55.0,7.9,34.83,barley
15.6,157.6,177.2,21.51,86.09,6.32,133.79,grapes
20.1,56.1,23.1,18.98,25.49,5.38,93.53,kidneybeans
