Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
37.06,Loamy,Paddy,7,4,43,10-26-26
64.49,Sandy,Millets,10,5,24,28-28
25.75,Clayey,Sugarcane,5,10,32,28-28
40.03,Loamy,Paddy,25,0,22,Urea
26.83,Sandy,Ground Nuts,38,1,1,DAP
47.18,Red,Millets,15,0,37,20-20
31.6,Black,Wheat,11,2,39,28-28
28.8,Clayey,Maize,11,8,27,17-17-17
50.69,Clayey,Oil seeds,13,0,4,14-35-14
24.98,Sandy,Paddy,20,3,27,20-20
64.77,Loamy,Cotton,6,10,11,DAP
32.7,Sandy,Oil seeds,18,9,14,20-20
39.79,Sandy,Ground Nuts,36,2,0,17-17-17
44.77,Red,Wheat,18,0,10,20-20
56.74,Clayey,Wheat,7,0,7,10-26-26
55.35,Sandy,Paddy,17,0,20,14-35-14
56.48,Loamy,Maize,8,7,25,17-17-17
68.8,Red,Tobacco,10,3,10,14-35-14
61.19,Black,Barley,5,4,14,28-28
44.84,Black,Sugarcane,7,22,14,20-20
69.07,Sandy,Wheat,38,0,0,DAP
24.2,Red,Tobacco,20,0,19,14-35-14
70.0,Loamy,Wheat,14,0,38,10-26-26
37.58,Clayey,Sugarcane,25,0,20,17-17-17
51.04,Red,Cotton,11,16,15,20-20
33.59,Sandy,Millets,6,0,34,20-20
38.4,Loamy,Paddy,36,0,3,14-35-14
28.01,Black,Pulses,16,0,13,10-26-26
52.5,Clayey,Paddy,16,3,10,20-20
36.56,Loamy,Oil seeds,14,0,40,20-20
70.0,Red,Wheat,28,0,20,DAP
29.16,Red,Maize,6,16,21,14-35-14
41.0,Loamy,Barley,8,0,6,10-26-26
50.94,Black,Paddy,36,0,2,14-35-14
44.02,Red,Wheat,11,1,38,17-17-17
27.88,Red,Maize,11,5,32,10-26-26
46.8,Clayey,Pulses,9,10,29,28-28
43.37,Clayey,Maize,35,0,2,Urea
36.06,Black,Millets,11,10,13,DAP
43.42,Sandy,Sugarcane,20,4,26,20-20
34.79,Clayey,Ground Nuts,6,0,9,10-26-26
27.49,Loamy,Ground Nuts,6,4,34,20-20
40.74,Sandy,Pulses,13,4,40,DAP
43.03,Sandy,Sugarcane,36,0,0,10-26-26
47.86,Black,Sugarcane,6,7,25,28-28
45.92,Loamy,Barley,25,3,21,14-35-14
44.67,Sandy,Barley,3,0,14,17-17-17
55.08,Black,Oil seeds,13,0,39,Urea
51.42,Sandy,Wheat,8,3,29,28-28
52.64,Black,Paddy,7,21,24,17-17-17
37.45,Sandy,Wheat,21,0,19,10-26-26
33.07,Red,Pulses,35,0,0,28-28
41.52,Loamy,Sugarcane,21,0,23,Urea
32.49,Red,Millets,17,0,21,17-17-17
48.22,Sandy,Sugarcane,16,19,9,28-28
49.42,Red,Cotton,25,0,21,14-35-14
34.24,Sandy,Wheat,8,7,25,10-26-26
54.29,Clayey,Pulses,26,0,16,20-20
21.91,Red,Barley,6,10,31,28-28
31.47,Black,Maize,6,15,23,DAP
29.09,Loamy,Tobacco,40,2,0,DAP
55.77,Sandy,Millets,4,0,12,Urea
51.86,Black,Paddy,35,4,0,28-28
50.84,Loamy,Wheat,8,18,8,Urea
35.68,Sandy,Wheat,22,0,13,DAP
36.01,Sandy,Wheat,8,11,18,17-17-17
26.6,Loamy,Maize,39,0,2,DAP
49.6,Red,Sugarcane,10,16,23,10-26-26
20.0,Red,Wheat,7,9,31,17-17-17
31.17,Clayey,Millets,9,4,17,28-28
40.88,Clayey,Pulses,16,12,14,28-28
43.39,Loamy,Pulses,17,3,37,Urea
41.6,Loamy,Tobacco,11,18,15,10-26-26
41.29,Loamy,Oil seeds,28,0,18,14-35-14
62.11,Sandy,Pulses,37,0,0,14-35-14
31.38,Loamy,Paddy,41,4,0,10-26-26
32.61,Sandy,Maize,38,4,0,DAP
61.25,Clayey,Maize,15,0,13,28-28
31.19,Sandy,Cotton,10,10,30,DAP
41.37,Clayey,Barley,38,2,0,28-28
20.86,Clayey,Ground Nuts,37,2,3,20-20
41.79,Loamy,Cotton,40,3,4,17-17-17
60.62,Sandy,Maize,9,9,33,DAP
32.76,Clayey,Sugarcane,26,0,26,14-35-14
38.27,Clayey,Maize,23,0,22,20-20
42.41,Black,Paddy,24,0,19,17-17-17
65.95,Clayey,Pulses,8,0,5,14-35-14
30.85,Red,Wheat,7,19,11,Urea
54.5,Clayey,Sugarcane,44,0,0,DAP
41.46,Loamy,Cotton,7,19,17,DAP
66.97,Sandy,Cotton,13,8,28,Urea
57.26,Sandy,Paddy,11,0,42,Urea
61.13,Clayey,Paddy,40,0,3,10-26-26
52.22,Black,Cotton,17,2,37,14-35-14
44.13,Black,Paddy,14,0,44,17-17-17
49.11,Red,Sugarcane,2,6,33,17-17-17
36.07,Black,Maize,11,0,43,17-17-17
60.46,Red,Millets,12,4,38,14-35-14
37.99,Black,Maize,46,3,4,17-17-17
58.82,Sandy,Oil seeds,7,9,28,20-20
47.35,Loamy,Ground Nuts,43,2,0,14-35-14
21.16,Sandy,Ground Nuts,7,21,18,Urea
64.07,Red,Maize,12,0,12,17-17-17
41.79,Loamy,Sugarcane,13,9,22,28-28
43.02,Loamy,Tobacco,40,0,0,28-28
33.52,Red,Barley,26,0,17,20-20
48.62,Clayey,Wheat,13,9,12,10-26-26
44.64,Clayey,Cotton,10,14,17,17-17-17
45.95,Sandy,Oil seeds,42,2,0,10-26-26
27.1,Clayey,Barley,36,4,0,20-20
38.28,Clayey,Pulses,6,17,11,Urea
32.65,Black,Tobacco,21,1,21,10-26-26
32.25,Clayey,Paddy,13,0,39,Urea
66.13,Loamy,Oil seeds,8,2,10,17-17-17
41.35,Red,Paddy,42,0,0,20-20
55.29,Black,Sugarcane,37,0,1,17-17-17
59.35,Red,Maize,36,0,0,10-26-26
27.73,Black,Maize,10,0,38,17-17-17
33.2,Black,Sugarcane,21,0,26,DAP
30.24,Red,Ground Nuts,36,0,4,20-20
58.77,Black,Oil seeds,10,1,12,14-35-14
53.07,Black,Millets,42,4,0,28-28
41.76,Sandy,Pulses,16,0,39,10-26-26
52.53,Clayey,Millets,15,3,41,17-17-17
34.92,Red,Pulses,26,3,27,10-26-26
42.73,Red,Pulses,38,0,4,DAP
27.4,Black,Cotton,10,0,40,20-20
30.61,Loamy,Ground Nuts,25,0,23,DAP
46.5,Red,Millets,9,22,11,14-35-14
24.11,Clayey,Tobacco,41,0,0,17-17-17
26.54,Clayey,Wheat,14,0,3,DAP
57.99,Sandy,Sugarcane,4,10,32,14-35-14
20.71,Black,Tobacco,8,5,26,10-26-26
25.82,Sandy,Oil seeds,6,6,34,17-17-17
40.83,Black,Cotton,17,2,39,28-28
65.34,Loamy,Paddy,34,1,2,28-28
56.5,Loamy,Sugarcane,21,0,23,10-26-26
61.53,Loamy,Pulses,8,0,39,10-26-26
65.28,Black,Barley,5,9,27,Urea
38.39,Red,Ground Nuts,25,0,18,DAP
21.85,Clayey,Millets,7,15,18,10-26-26
28.98,Red,Barley,3,6,26,DAP
23.95,Black,Tobacco,37,0,0,28-28
28.77,Loamy,Ground Nuts,36,2,4,20-20
70.0,Loamy,Ground Nuts,12,2,38,20-20
41.53,Clayey,Sugarcane,11,2,10,10-26-26
43.81,Loamy,Barley,35,3,0,DAP
61.08,Red,Pulses,12,1,35,10-26-26
47.28,Loamy,Barley,7,14,14,17-17-17
34.26,Loamy,Pulses,18,0,15,Urea
24.13,Red,Cotton,41,4,0,14-35-14
49.48,Red,Pulses,24,0,22,28-28
30.56,Sandy,Ground Nuts,25,0,24,20-20
30.93,Loamy,Cotton,8,9,25,14-35-14
56.61,Loamy,Tobacco,12,0,7,DAP
47.76,Clayey,Wheat,20,0,16,Urea
51.08,Clayey,Oil seeds,11,15,10,Urea
40.95,Red,Ground Nuts,40,0,4,17-17-17
36.13,Sandy,Millets,25,2,20,20-20
33.86,Black,Pulses,6,16,17,14-35-14
23.1,Black,Oil seeds,8,0,32,28-28
58.73,Sandy,Oil seeds,39,0,0,Urea
30.24,Sandy,Cotton,13,1,14,Urea
28.45,Red,Maize,8,0,6,14-35-14
56.93,Clayey,Pulses,12,3,31,17-17-17
38.16,Loamy,Pulses,12,4,16,10-26-26
34.53,Black,Barley,40,0,0,17-17-17
25.82,Red,Tobacco,9,11,17,Urea
49.63,Clayey,Ground Nuts,9,0,12,10-26-26
45.41,Clayey,Cotton,44,0,0,14-35-14
33.96,Loamy,Millets,24,0,19,28-28
24.12,Black,Paddy,8,0,14,20-20
55.26,Red,Cotton,23,4,18,14-35-14
34.13,Black,Cotton,10,0,32,Urea
33.0,Black,Ground Nuts,7,10,25,DAP
55.66,Black,Millets,1,10,28,17-17-17
39.44,Clayey,Tobacco,10,0,12,DAP
29.95,Red,Ground Nuts,16,0,37,20-20
32.93,Clayey,Sugarcane,15,0,42,Urea
45.19,Red,Sugarcane,38,1,2,10-26-26
36.72,Loamy,Millets,37,4,0,Urea
56.71,Sandy,Maize,36,3,0,14-35-14
41.45,Black,Wheat,12,0,10,14-35-14
46.9,Clayey,Wheat,38,2,0,10-26-26
20.0,Clayey,Millets,37,0,4,17-17-17
45.87,Black,Millets,4,0,18,Urea
58.11,Red,Cotton,14,3,6,28-28
41.55,Loamy,Paddy,10,3,29,17-17-17
41.9,Black,Pulses,17,2,32,Urea
59.45,Black,Sugarcane,14,14,13,10-26-26
37.57,Black,Pulses,24,0,21,Urea
55.15,Black,Pulses,3,9,37,Urea
61.21,Sandy,Cotton,16,0,8,20-20
37.97,Black,Sugarcane,21,0,23,17-17-17
62.98,Loamy,Pulses,15,4,30,10-26-26
39.42,Sandy,Pulses,38,2,1,DAP
35.26,Black,Pulses,28,4,20,20-20
39.67,Clayey,Maize,13,0,36,10-26-26
38.28,Loamy,Oil seeds,35,3,1,17-17-17
43.15,Red,Barley,12,12,28,28-28
20.0,Sandy,Ground Nuts,11,13,27,DAP
34.78,Black,Maize,3,15,24,28-28
48.25,Sandy,Paddy,7,8,24,Urea
24.65,Black,Pulses,38,0,3,14-35-14
31.79,Red,Millets,21,3,18,DAP
57.23,Loamy,Cotton,24,0,22,Urea
43.81,Clayey,Ground Nuts,14,19,23,17-17-17
57.3,Black,Ground Nuts,13,1,39,DAP
31.2,Loamy,Maize,14,0,13,DAP
34.64,Loamy,Millets,14,0,36,17-17-17
22.4,Sandy,Millets,18,0,43,17-17-17
37.79,Clayey,Barley,5,1,16,Urea
37.68,Loamy,Tobacco,37,0,1,20-20
34.42,Black,Ground Nuts,8,0,33,17-17-17
64.42,Sandy,Barley,8,1,11,28-28
45.98,Sandy,Millets,38,0,0,14-35-14
70.0,Loamy,Tobacco,15,0,37,10-26-26
36.37,Sandy,Tobacco,37,1,3,10-26-26
69.01,Red,Sugarcane,12,5,35,Urea
62.38,Clayey,Maize,7,16,9,14-35-14
39.77,Red,Sugarcane,41,0,3,14-35-14
51.2,Black,Wheat,13,3,11,28-28
38.22,Red,Pulses,20,2,18,17-17-17
37.16,Black,Millets,36,0,0,Urea
33.9,Loamy,Wheat,43,0,0,Urea
61.48,Red,Cotton,6,11,29,28-28
70.0,Red,Sugarcane,13,12,24,DAP
39.93,Black,Barley,34,0,3,20-20
20.33,Sandy,Oil seeds,41,4,2,10-26-26
35.68,Red,Millets,32,0,0,28-28
28.64,Black,Millets,8,6,14,14-35-14
25.39,Black,Maize,9,0,36,Urea
37.15,Red,Millets,12,0,37,14-35-14
47.29,Red,Oil seeds,24,0,18,DAP
57.26,Black,Pulses,13,1,39,17-17-17
44.4,Clayey,Wheat,36,3,0,20-20
29.59,Red,Sugarcane,40,2,3,14-35-14
27.55,Red,Millets,17,0,39,17-17-17
45.72,Red,Cotton,35,1,0,17-17-17
40.45,Clayey,Barley,10,13,22,28-28
57.55,Red,Cotton,9,13,29,17-17-17
45.96,Black,Paddy,17,4,10,14-35-14
55.3,Sandy,Cotton,0,15,10,14-35-14
41.19,Red,Ground Nuts,22,4,22,DAP
41.51,Sandy,Barley,1,13,13,14-35-14
40.79,Black,Tobacco,5,11,17,14-35-14
35.97,Black,Maize,45,0,0,Urea
44.03,Clayey,Tobacco,22,0,18,Urea
42.28,Loamy,Pulses,14,1,18,14-35-14
38.77,Loamy,Ground Nuts,23,1,13,Urea
36.55,Loamy,Sugarcane,32,1,0,20-20
43.16,Sandy,Ground Nuts,44,1,0,17-17-17
37.77,Black,Maize,19,4,21,10-26-26
35.13,Clayey,Wheat,16,3,42,DAP
24.75,Loamy,Maize,11,13,16,10-26-26
39.36,Black,Wheat,22,1,20,17-17-17
68.32,Black,Pulses,6,0,7,14-35-14
25.52,Black,Sugarcane,3,14,20,14-35-14
68.9,Red,Barley,8,0,42,28-28
36.26,Red,Pulses,39,0,0,10-26-26
52.25,Black,Oil seeds,18,3,41,17-17-17
36.64,Clayey,Sugarcane,10,0,38,Urea
39.13,Red,Ground Nuts,17,0,43,20-20
35.65,Clayey,Oil seeds,41,2,0,17-17-17
60.71,Clayey,Sugarcane,9,2,35,10-26-26
57.93,Loamy,Wheat,27,0,15,10-26-26
39.39,Clayey,Ground Nuts,9,11,21,Urea
37.43,Black,Sugarcane,33,0,2,28-28
39.87,Sandy,Millets,21,1,19,28-28
26.85,Loamy,Millets,11,3,36,20-20
50.16,Sandy,Wheat,33,0,2,10-26-26
55.43,Clayey,Paddy,42,4,0,DAP
36.43,Loamy,Sugarcane,17,0,39,Urea
32.77,Black,Pulses,17,0,21,17-17-17
53.41,Sandy,Maize,41,1,0,28-28
39.07,Red,Tobacco,24,0,14,20-20
37.19,Red,Sugarcane,17,0,38,17-17-17
61.53,Sandy,Millets,12,11,32,20-20
67.99,Black,Ground Nuts,13,4,6,20-20
44.4,Clayey,Sugarcane,4,15,14,14-35-14
69.11,Sandy,Oil seeds,15,0,41,14-35-14
70.0,Black,Paddy,9,3,8,28-28
42.85,Loamy,Wheat,14,0,7,17-17-17
51.32,Black,Millets,18,4,17,Urea
64.18,Black,Oil seeds,34,0,1,28-28
37.33,Black,Paddy,27,0,20,28-28
47.98,Red,Sugarcane,8,0,8,17-17-17
26.32,Clayey,Cotton,11,1,12,Urea
28.88,Loamy,Paddy,33,3,0,20-20
56.57,Black,Barley,5,16,13,14-35-14
69.25,Sandy,Millets,40,0,0,10-26-26
28.0,Black,Oil seeds,7,9,32,20-20
70.0,Red,Barley,11,4,28,17-17-17
39.77,Loamy,Cotton,4,7,26,28-28
36.01,Red,Ground Nuts,45,0,0,28-28
46.58,Red,Paddy,24,1,24,DAP
47.39,Loamy,Wheat,13,20,20,20-20
65.21,Black,Sugarcane,13,3,28,20-20
34.71,Loamy,Sugarcane,33,4,1,14-35-14
36.46,Sandy,Cotton,11,5,26,14-35-14
56.39,Sandy,Tobacco,19,0,23,28-28
40.55,Black,Sugarcane,14,19,23,10-26-26
50.55,Red,Tobacco,16,0,42,Urea
26.99,Clayey,Pulses,27,0,19,28-28
70.0,Sandy,Maize,38,0,3,10-26-26
49.89,Loamy,Tobacco,24,0,27,10-26-26
51.32,Black,Cotton,8,0,8,10-26-26
42.9,Loamy,Tobacco,37,0,0,28-28
27.39,Black,Ground Nuts,15,9,6,DAP
64.25,Loamy,Paddy,9,8,25,17-17-17
70.0,Red,Paddy,40,1,0,28-28
66.46,Sandy,Oil seeds,11,0,12,28-28
44.6,Clayey,Millets,36,0,0,28-28
67.03,Black,Pulses,22,2,19,17-17-17
36.11,Red,Cotton,18,0,21,DAP
42.28,Sandy,Cotton,37,0,0,28-28
59.57,Clayey,Wheat,5,5,34,10-26-26
43.49,Red,Oil seeds,35,0,3,20-20
52.43,Loamy,Tobacco,21,0,21,Urea
29.3,Clayey,Wheat,38,2,0,14-35-14
51.88,Loamy,Millets,33,2,0,20-20
66.14,Loamy,Wheat,8,0,17,20-20
34.93,Sandy,Tobacco,5,10,28,14-35-14
47.88,Loamy,Pulses,10,3,6,DAP
20.71,Red,Oil seeds,12,16,11,10-26-26
52.35,Black,Oil seeds,11,1,36,20-20
26.04,Loamy,Maize,6,11,34,14-35-14
46.38,Loamy,Paddy,10,15,17,28-28
46.83,Sandy,Tobacco,37,1,0,17-17-17
41.27,Loamy,Oil seeds,38,0,4,DAP
24.21,Loamy,Oil seeds,10,1,39,14-35-14
40.24,Loamy,Pulses,19,0,45,17-17-17
46.77,Loamy,Wheat,12,3,32,10-26-26
45.16,Sandy,Sugarcane,26,0,21,DAP
55.44,Sandy,Paddy,11,13,17,Urea
51.57,Clayey,Tobacco,12,0,37,14-35-14
40.8,Red,Cotton,42,3,0,DAP
52.62,Black,Wheat,11,3,33,DAP
51.55,Sandy,Cotton,15,0,12,28-28
24.22,Clayey,Pulses,26,0,18,20-20
39.54,Black,Sugarcane,34,2,0,17-17-17
40.27,Black,Cotton,36,0,0,14-35-14
24.52,Clayey,Pulses,13,2,37,14-35-14
61.71,Black,Oil seeds,18,4,36,DAP
53.38,Clayey,Cotton,9,0,37,28-28
23.13,Loamy,Wheat,6,0,34,20-20
30.7,Loamy,Ground Nuts,11,6,11,20-20
47.68,Loamy,Maize,21,0,24,Urea
37.69,Sandy,Cotton,9,4,16,14-35-14
43.54,Red,Tobacco,8,13,16,20-20
46.91,Clayey,Ground Nuts,2,15,20,10-26-26
61.58,Black,Cotton,12,0,14,17-17-17
59.87,Sandy,Tobacco,4,12,36,Urea
58.88,Clayey,Barley,17,0,38,10-26-26
35.98,Red,Pulses,10,0,18,14-35-14
67.32,Sandy,Wheat,14,0,38,Urea
57.03,Clayey,Paddy,9,8,24,10-26-26
45.69,Loamy,Barley,22,1,26,17-17-17
34.68,Red,Cotton,17,0,7,20-20
24.22,Red,Millets,19,0,21,28-28
52.97,Black,Cotton,11,0,12,10-26-26
37.48,Sandy,Ground Nuts,10,1,37,20-20
26.39,Sandy,Wheat,12,2,27,10-26-26
67.17,Clayey,Millets,40,3,2,14-35-14
30.16,Red,Paddy,10,0,32,14-35-14
49.51,Sandy,Pulses,9,3,39,10-26-26
56.14,Red,Paddy,5,13,15,Urea
41.88,Loamy,Maize,12,2,34,14-35-14
35.74,Loamy,Ground Nuts,11,12,21,Urea
24.78,Loamy,Barley,19,14,13,28-28
38.6,Red,Sugarcane,21,0,15,DAP
28.94,Clayey,Ground Nuts,12,0,37,Urea
23.96,Loamy,Tobacco,9,20,12,17-17-17
32.47,Sandy,Tobacco,42,4,0,20-20
64.3,Loamy,Tobacco,36,4,0,14-35-14
38.74,Clayey,Ground Nuts,26,1,17,DAP
33.63,Black,Paddy,39,0,4,DAP
52.98,Black,Ground Nuts,17,0,37,17-17-17
38.36,Sandy,Wheat,11,0,15,DAP
30.22,Red,Paddy,19,3,27,28-28
65.9,Red,Wheat,39,4,4,Urea
52.77,Red,Oil seeds,13,13,11,17-17-17
20.0,Loamy,Cotton,13,8,28,14-35-14
46.96,Black,Wheat,40,2,4,28-28
32.66,Sandy,Tobacco,6,17,21,Urea
38.08,Sandy,Pulses,25,1,19,10-26-26
49.7,Loamy,Tobacco,19,1,36,DAP
46.15,Black,Pulses,10,21,23,Urea
25.04,Loamy,Pulses,20,3,16,14-35-14
47.01,Red,Sugarcane,21,1,17,17-17-17
38.03,Black,Pulses,36,0,3,Urea
41.8,Black,Pulses,3,17,19,10-26-26
22.93,Red,Maize,15,0,16,20-20
62.33,Black,Millets,9,1,41,28-28
39.96,Loamy,Paddy,9,3,39,14-35-14
57.63,Red,Tobacco,5,9,33,DAP
43.39,Sandy,Ground Nuts,40,1,4,DAP
60.43,Black,Wheat,8,0,5,10-26-26
42.02,Loamy,Cotton,11,4,46,17-17-17
58.57,Red,Wheat,11,4,18,20-20
31.95,Sandy,Maize,20,3,16,DAP
60.4,Clayey,Oil seeds,4,3,15,28-28
29.73,Sandy,Pulses,15,3,38,17-17-17
54.65,Sandy,Paddy,39,0,3,14-35-14
35.11,Loamy,Tobacco,37,2,3,Urea
30.72,Clayey,Maize,34,0,0,Urea
40.7,Black,Tobacco,12,0,18,DAP
52.01,Black,Cotton,17,0,39,17-17-17
70.0,Sandy,Sugarcane,13,0,13,20-20
47.91,Loamy,Barley,15,14,14,Urea
23.5,Sandy,Pulses,8,0,34,14-35-14
40.56,Sandy,Ground Nuts,20,0,13,10-26-26
37.3,Loamy,Wheat,45,0,2,20-20
59.82,Sandy,Oil seeds,3,10,37,Urea
36.04,Red,Barley,37,2,0,20-20
41.86,Sandy,Maize,9,8,31,DAP
44.33,Sandy,Wheat,8,12,10,DAP
35.06,Black,Cotton,13,0,4,DAP
60.38,Loamy,Wheat,19,0,23,28-28
67.2,Red,Barley,14,0,37,DAP
37.45,Red,Tobacco,17,0,40,17-17-17
62.55,Loamy,Sugarcane,12,4,38,20-20
60.21,Red,Wheat,10,0,10,14-35-14
40.14,Clayey,Paddy,19,0,20,28-28
32.57,Clayey,Paddy,9,19,18,17-17-17
61.42,Black,Tobacco,13,0,12,Urea
32.44,Sandy,Oil seeds,2,14,20,DAP
27.08,Red,Millets,11,2,8,17-17-17
54.59,Red,Oil seeds,13,8,35,10-26-26
35.02,Loamy,Millets,41,0,0,Urea
32.44,Clayey,Ground Nuts,38,2,0,20-20
41.74,Black,Pulses,23,1,23,28-28
51.39,Loamy,Tobacco,27,0,17,17-17-17
39.32,Red,Ground Nuts,34,0,3,Urea
70.0,Sandy,Maize,26,2,24,Urea
35.74,Red,Paddy,34,3,0,14-35-14
50.32,Clayey,Ground Nuts,23,0,18,28-28
31.77,Red,Sugarcane,41,0,0,10-26-26
48.74,Clayey,Tobacco,12,8,29,14-35-14
38.52,Red,Ground Nuts,13,4,42,17-17-17
29.06,Clayey,Millets,16,0,15,14-35-14
61.23,Red,Ground Nuts,8,0,13,10-26-26
52.22,Black,Ground Nuts,6,10,29,14-35-14
44.35,Clayey,Cotton,39,0,3,28-28
43.7,Red,Maize,11,8,14,17-17-17
28.36,Loamy,Wheat,16,1,34,28-28
49.01,Clayey,Maize,44,0,2,14-35-14
34.2,Sandy,Ground Nuts,35,3,4,Urea
50.81,Sandy,Tobacco,7,7,37,17-17-17
66.53,Red,Sugarcane,21,0,21,17-17-17
54.53,Sandy,Barley,13,0,35,Urea
42.95,Sandy,Millets,24,0,17,Urea
38.7,Red,Millets,19,4,26,DAP
38.5,Red,Wheat,16,3,27,20-20
63.78,Sandy,Paddy,10,8,11,Urea
35.57,Sandy,Barley,13,8,32,10-26-26
30.96,Red,Maize,8,0,10,20-20
36.75,Clayey,Sugarcane,20,0,22,DAP
61.72,Red,Oil seeds,18,0,38,14-35-14
30.23,Clayey,Barley,9,0,38,14-35-14
61.27,Sandy,Maize,12,0,32,20-20
49.95,Black,Wheat,18,0,25,17-17-17
25.69,Loamy,Tobacco,6,18,20,17-17-17
36.58,Red,Millets,5,5,28,DAP
21.43,Red,Cotton,12,1,36,14-35-14
31.86,Red,Wheat,13,0,11,17-17-17
50.85,Sandy,Wheat,9,11,23,20-20
37.19,Sandy,Maize,23,0,15,28-28
49.07,Clayey,Wheat,10,8,32,14-35-14
42.29,Sandy,Ground Nuts,11,4,26,DAP
50.23,Clayey,Barley,8,18,10,20-20
51.79,Loamy,Wheat,26,0,16,17-17-17
34.79,Red,Sugarcane,40,2,0,Urea
35.02,Loamy,Barley,19,0,16,Urea
30.22,Clayey,Cotton,37,0,0,20-20
36.84,Clayey,Millets,17,0,34,17-17-17
58.19,Loamy,Sugarcane,43,2,0,10-26-26
70.0,Red,Paddy,9,0,34,Urea
62.73,Clayey,Pulses,11,4,14,10-26-26
55.42,Red,Tobacco,6,0,40,Urea
37.95,Clayey,Pulses,37,0,0,20-20
34.63,Red,Wheat,4,12,28,17-17-17
28.12,Sandy,Ground Nuts,39,0,0,DAP
36.98,Sandy,Paddy,15,0,37,10-26-26
28.75,Black,Sugarcane,13,4,38,Urea
44.94,Black,Pulses,10,1,38,DAP
37.92,Red,Barley,16,2,15,20-20
46.84,Black,Millets,40,0,0,Urea
35.3,Black,Oil seeds,21,0,22,20-20
69.17,Red,Sugarcane,11,5,29,28-28
43.64,Red,Maize,21,0,18,Urea
66.79,Black,Barley,15,0,43,10-26-26
32.88,Red,Paddy,16,4,44,17-17-17
36.61,Sandy,Barley,5,10,28,14-35-14
54.46,Sandy,Barley,15,4,38,DAP
31.58,Sandy,Cotton,23,0,15,20-20
60.71,Loamy,Wheat,14,11,18,DAP
39.79,Clayey,Sugarcane,15,0,32,28-28
52.2,Red,Sugarcane,40,2,0,28-28
37.65,Clayey,Barley,2,17,16,10-26-26
20.35,Red,Barley,16,0,38,10-26-26
61.24,Loamy,Wheat,4,9,34,Urea
37.76,Sandy,Barley,27,1,19,17-17-17
54.65,Red,Oil seeds,27,0,16,Urea
66.05,Red,Pulses,9,0,34,10-26-26
22.13,Loamy,Paddy,8,0,14,28-28
48.14,Sandy,Maize,16,11,14,20-20
37.92,Clayey,Tobacco,6,0,37,Urea
29.12,Black,Tobacco,3,12,17,DAP
70.0,Clayey,Sugarcane,9,12,33,10-26-26
43.95,Red,Tobacco,33,4,1,17-17-17
38.29,Black,Maize,27,0,16,Urea
41.77,Loamy,Cotton,13,7,9,DAP
55.47,Red,Maize,12,6,32,10-26-26
25.31,Clayey,Maize,10,3,36,28-28
35.22,Red,Pulses,4,12,20,14-35-14
42.62,Clayey,Ground Nuts,5,16,9,10-26-26
40.81,Loamy,Paddy,16,2,37,Urea
22.31,Red,Oil seeds,23,3,23,28-28
53.72,Clayey,Ground Nuts,41,1,0,28-28
43.35,Red,Wheat,8,13,16,14-35-14
61.51,Loamy,Cotton,12,11,27,28-28
61.83,Loamy,Oil seeds,6,5,27,10-26-26
30.08,Black,Barley,22,4,16,14-35-14
43.22,Loamy,Cotton,16,0,40,DAP
32.09,Clayey,Millets,20,0,21,DAP
43.52,Clayey,Cotton,20,4,17,14-35-14
64.16,Clayey,Millets,9,6,29,17-17-17
26.58,Sandy,Cotton,34,2,0,DAP
42.85,Red,Barley,15,3,38,14-35-14
38.02,Loamy,Wheat,8,17,20,17-17-17
32.9,Black,Ground Nuts,46,0,0,20-20
67.15,Loamy,Cotton,13,3,9,28-28
61.02,Clayey,Pulses,37,0,0,10-26-26
59.59,Sandy,Tobacco,37,3,1,17-17-17
28.75,Clayey,Maize,42,0,0,28-28
52.54,Loamy,Tobacco,9,20,22,14-35-14
43.45,Red,Pulses,10,21,14,DAP
57.16,Loamy,Ground Nuts,7,12,31,14-35-14
46.78,Black,Sugarcane,5,11,13,17-17-17
32.13,Red,Paddy,42,1,0,10-26-26
37.4,Sandy,Oil seeds,0,14,13,DAP
70.0,Red,Ground Nuts,17,3,42,DAP
42.1,Sandy,Pulses,6,6,27,DAP
35.05,Clayey,Sugarcane,17,0,35,Urea
46.83,Sandy,Millets,21,0,20,Urea
37.53,Clayey,Pulses,7,0,17,10-26-26
36.62,Loamy,Pulses,18,3,40,Urea
43.36,Black,Millets,5,6,21,DAP
38.67,Clayey,Wheat,14,0,5,20-20
59.4,Sandy,Barley,28,4,22,10-26-26
61.7,Loamy,Barley,11,4,9,Urea
56.4,Sandy,Maize,6,12,23,DAP
51.05,Loamy,Maize,25,0,21,DAP
64.74,Black,Tobacco,9,11,25,14-35-14
57.42,Clayey,Oil seeds,42,0,2,14-35-14
40.8,Red,Cotton,8,3,36,10-26-26
36.17,Loamy,Oil seeds,8,23,12,14-35-14
59.18,Sandy,Oil seeds,8,17,12,Urea
39.69,Clayey,Tobacco,21,0,17,14-35-14
36.48,Sandy,Oil seeds,24,3,18,14-35-14
60.52,Loamy,Maize,11,11,29,17-17-17
25.05,Red,Paddy,34,0,0,14-35-14
32.97,Red,Pulses,4,23,18,Urea
39.07,Loamy,Cotton,40,2,1,DAP
38.18,Sandy,Paddy,3,23,12,20-20
46.52,Loamy,Tobacco,23,0,16,28-28
52.54,Clayey,Barley,26,0,18,DAP
